City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bengkulu,ID,-3.8004,102.2655,77.67,86,96,2.55,overcast clouds
79,Mahebourg,MU,-20.4081,57.7,80.26,78,75,11.5,broken clouds
80,Dikson,RU,73.5069,80.5464,2.43,88,81,20.54,broken clouds
81,Port Lincoln,AU,-34.7333,135.8667,60.93,78,21,17.2,few clouds
82,Yeppoon,AU,-23.1333,150.7333,73.18,68,15,16.93,few clouds
83,Qaanaaq,GL,77.484,-69.3632,9.52,93,100,2.71,overcast clouds
84,Clyde River,CA,70.4692,-68.5914,0.73,78,1,1.79,clear sky
85,Jamestown,US,42.097,-79.2353,53.51,73,100,9.22,overcast clouds
86,Nizwa,OM,22.9333,57.5333,91.76,14,4,11.48,clear sky
87,Ilulissat,GL,69.2167,-51.1,24.82,80,75,4.61,light shower snow
88,Serafimovich,RU,49.5786,42.736,51.62,54,74,17.09,broken clouds
89,Chuy,UY,-33.6971,-53.4616,71.78,51,0,5.99,clear sky
90,Santa Cruz De La Palma,ES,28.6835,-17.7642,64.54,59,100,11.5,overcast clouds
91,Isangel,VU,-19.55,169.2667,79.95,81,100,15.05,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,62.8,58,99,18.52,overcast clouds
93,Kruisfontein,ZA,-34.0033,24.7314,67.89,62,9,31.03,clear sky
94,Lynchburg,US,37.4138,-79.1423,65.68,79,20,8.05,few clouds
95,Seoul,KR,37.5683,126.9778,49.39,29,100,3.83,overcast clouds
96,Bayeux,BR,-7.125,-34.9322,77.63,88,75,8.05,light rain
97,Doha,QA,25.2867,51.5333,97.11,16,0,5.75,clear sky
98,Vila Do Maio,CV,15.1333,-23.2167,70.84,74,12,20.42,few clouds
99,Khani,GE,41.9563,42.9566,47.77,98,100,2.57,overcast clouds
100,Jardim,BR,-21.4803,-56.1381,86.5,56,58,5.82,broken clouds
101,East London,ZA,-33.0153,27.9116,69.26,65,41,17.98,scattered clouds
102,Lebu,CL,-37.6167,-73.65,57.34,77,5,5.59,clear sky
103,Chokurdakh,RU,70.6333,147.9167,-23.49,100,28,3.38,scattered clouds
104,Provideniya,RU,64.3833,-173.3,-1.1,89,100,5.41,overcast clouds
105,Rio Gallegos,AR,-51.6226,-69.2181,39.25,48,0,13.8,clear sky
106,La Cruz,MX,23.9167,-106.9,65.64,84,1,1.7,clear sky
107,Saint George,US,37.1041,-113.5841,49.42,30,0,14.97,clear sky
108,Qaqortoq,GL,60.7167,-46.0333,32.94,65,75,1.9,broken clouds
109,Nago,JP,26.5881,127.9761,67.05,65,50,7.54,scattered clouds
110,Cheremukhovo,RU,60.3484,59.9851,32.65,81,23,5.35,few clouds
111,Vostok,RU,46.4856,135.8833,21.24,69,100,9.08,overcast clouds
112,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,75,11.5,broken clouds
113,Norman Wells,CA,65.282,-126.8329,7.66,97,81,2.51,broken clouds
114,Belmonte,BR,-15.8631,-38.8828,82.0,70,34,6.46,scattered clouds
115,Tasiilaq,GL,65.6145,-37.6368,32.16,82,74,2.51,broken clouds
116,Dzaoudzi,YT,-12.7887,45.2699,85.89,70,75,5.75,broken clouds
117,Mineral Wells,US,32.8085,-98.1128,59.34,44,0,14.97,clear sky
118,Makakilo City,US,21.3469,-158.0858,71.69,80,40,3.44,scattered clouds
119,Castro,BR,-24.7911,-50.0119,70.54,80,94,1.68,overcast clouds
120,Aklavik,CA,68.2191,-135.0107,0.57,92,100,11.54,overcast clouds
121,Sept-Iles,CA,50.2001,-66.3821,29.17,78,12,7.49,few clouds
122,Aksarka,RU,66.5606,67.7975,18.66,83,100,15.66,overcast clouds
123,Dunedin,NZ,-45.8742,170.5036,47.8,84,100,11.99,overcast clouds
124,Chegdomyn,RU,51.1167,133.0167,17.31,89,100,8.81,overcast clouds
125,Sioux Lookout,CA,50.1001,-91.917,32.59,98,100,14.12,snow
126,Urumqi,CN,43.801,87.6005,68.95,17,0,4.47,clear sky
127,Atar,MR,20.5169,-13.0499,90.88,13,0,9.01,clear sky
128,Langsa,ID,4.4683,97.9683,75.04,96,100,1.88,overcast clouds
129,Santa Elena,EC,-2.2333,-80.85,78.35,78,0,6.91,clear sky
130,Rach Gia,VN,10.0167,105.0833,82.56,73,100,11.1,overcast clouds
131,Saint-Pierre,RE,-21.3393,55.4781,80.28,73,75,21.85,broken clouds
132,Pacific Grove,US,36.6177,-121.9166,57.42,72,0,8.05,clear sky
133,Shahganj,IN,26.05,82.6833,90.27,6,3,5.61,clear sky
134,Torbay,CA,47.6666,-52.7314,38.26,92,100,18.99,moderate rain
135,Cam Ranh,VN,11.9214,109.1591,76.96,73,40,18.41,scattered clouds
136,Alyangula,AU,-13.8483,136.4192,83.14,66,4,7.56,clear sky
137,Adrar,MR,20.5022,-10.0711,89.17,13,1,12.73,clear sky
138,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,1.14,overcast clouds
139,Oranjemund,NA,-28.55,16.4333,66.47,57,75,22.17,broken clouds
140,Asau,RO,46.4333,26.4,67.28,46,52,10.56,broken clouds
141,Zhanaozen,KZ,43.3,52.8,54.01,57,100,14.79,overcast clouds
142,Avarua,CK,-21.2078,-159.775,73.45,100,100,2.3,overcast clouds
143,Guerrero Negro,MX,27.9769,-114.0611,59.09,82,0,3.04,clear sky
144,Bar Harbor,US,44.3876,-68.2039,49.84,33,0,9.22,clear sky
145,Itarema,BR,-2.9248,-39.9167,82.11,76,92,8.46,overcast clouds
146,Kahului,US,20.8947,-156.47,73.85,80,0,12.66,clear sky
147,Rawlins,US,41.7911,-107.2387,20.35,58,0,14.97,clear sky
148,Morehead,US,37.2711,-87.1764,56.98,97,100,5.75,overcast clouds
149,Mehamn,NO,71.0357,27.8492,35.51,73,100,24.52,overcast clouds
150,Danville,US,36.586,-79.395,67.42,65,0,6.91,clear sky
151,Winneba,GH,5.3511,-0.6231,87.01,66,100,10.0,overcast clouds
152,Vagay,RU,57.9375,69.0217,33.94,82,30,10.22,scattered clouds
153,Port Alberni,CA,49.2413,-124.8028,42.64,95,81,1.99,broken clouds
154,Zonguldak,TR,41.25,31.8333,49.05,58,1,6.46,clear sky
155,Malmo,SE,55.6059,13.0007,49.95,80,100,3.0,overcast clouds
156,Maarianhamina,AX,60.0973,19.9348,39.06,41,0,11.5,clear sky
157,Bac Lieu,VN,9.285,105.7244,81.86,75,100,11.54,overcast clouds
158,Ambunti,PG,-4.2365,142.8448,74.93,99,100,2.13,overcast clouds
159,Khorinsk,RU,52.1657,109.7726,31.6,87,100,2.93,overcast clouds
160,Gizo,SB,-8.103,156.8419,78.98,90,100,17.31,moderate rain
161,Astolfo Dutra,BR,-21.3153,-42.8622,84.67,77,89,2.24,overcast clouds
162,Faanui,PF,-16.4833,-151.75,82.29,77,25,20.29,light rain
163,Shetpe,KZ,44.1667,52.1167,60.64,45,100,11.61,overcast clouds
164,Jumla,NP,29.2747,82.1838,51.91,35,83,5.75,broken clouds
165,Sigmaringen,DE,48.0833,9.2167,58.68,73,100,5.97,overcast clouds
166,Shitanjing,CN,39.2342,106.3439,52.39,20,0,1.95,clear sky
167,Itoman,JP,26.1247,127.6694,68.02,62,40,6.91,scattered clouds
168,Khatanga,RU,71.9667,102.5,8.2,80,60,17.11,broken clouds
169,Umm Lajj,SA,25.0213,37.2685,84.09,43,7,5.19,clear sky
170,Gornyye Klyuchi,RU,45.25,133.5,31.66,31,88,8.61,overcast clouds
171,Guanica,PR,17.9716,-66.908,86.13,66,2,14.99,clear sky
172,Palimbang,PH,6.2106,124.1894,76.62,92,100,1.7,overcast clouds
173,Catacaos,PE,-5.2667,-80.6833,76.77,59,63,8.25,broken clouds
