City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Taoudenni,ML,2022-04-03 15:08:20,22.6783,-3.9836,104.32,6,0,23.47
68,Petropavlovsk-Kamchatskiy,RU,2022-04-03 15:08:20,53.0452,158.6483,14.97,84,29,13.67
69,Qaanaaq,GL,2022-04-03 15:08:21,77.484,-69.3632,14.0,73,95,5.97
70,Hobart,AU,2022-04-03 15:08:21,-42.8794,147.3294,57.06,93,100,4.61
71,Plettenberg Bay,ZA,2022-04-03 15:08:21,-34.0527,23.3716,66.85,74,99,4.79
72,Pangkalanbuun,ID,2022-04-03 15:08:22,-2.6833,111.6167,74.71,96,52,0.63
73,Acajutla,SV,2022-04-03 15:08:23,13.5928,-89.8275,84.18,67,30,3.8
74,Mar Del Plata,AR,2022-04-03 15:07:48,-38.0023,-57.5575,71.62,70,0,18.01
75,Cayenne,GF,2022-04-03 15:05:37,4.9333,-52.3333,83.08,1,75,16.11
76,Surt,LY,2022-04-03 15:08:23,31.2089,16.5887,66.18,64,0,21.94
77,High Prairie,CA,2022-04-03 15:08:24,55.4334,-116.4858,33.46,72,88,4.85
78,Saint-Philippe,RE,2022-04-03 15:08:24,-21.3585,55.7679,74.79,88,100,16.73
79,Panacan,PH,2022-04-03 15:08:25,9.2463,118.4082,79.34,86,100,7.72
80,Thompson,CA,2022-04-03 15:08:25,55.7435,-97.8558,25.97,88,100,6.22
81,Port Alfred,ZA,2022-04-03 15:08:25,-33.5906,26.891,76.17,79,71,5.01
82,Faanui,PF,2022-04-03 15:08:26,-16.4833,-151.75,80.87,76,10,7.54
83,Bikin,RU,2022-04-03 15:08:26,46.8161,134.26,35.67,78,0,7.65
84,Lukiv,UA,2022-04-03 15:08:27,51.0521,25.4006,36.18,75,100,12.06
85,Sabzevar,IR,2022-04-03 15:07:18,36.2126,57.6819,76.28,18,0,9.22
86,Provideniya,RU,2022-04-03 14:59:47,64.3833,-173.3,2.05,74,0,10.27
87,Montemor-O-Novo,PT,2022-04-03 15:09:27,38.6481,-8.2145,57.63,30,89,12.64
88,Staryy Krym,UA,2022-04-03 15:09:28,45.0333,35.1,50.52,54,66,14.56
89,Quatre Cocos,MU,2022-04-03 15:09:28,-20.2078,57.7625,79.09,79,83,14.92
90,Laguna,US,2022-04-03 15:02:34,38.421,-121.4238,60.78,67,0,3.44
91,Saint Anthony,US,2022-04-03 14:59:56,45.0205,-93.218,40.96,59,40,5.75
92,Gerash,IR,2022-04-03 15:07:19,27.6652,54.1371,86.14,12,83,7.2
93,Egvekinot,RU,2022-04-03 15:07:59,66.3167,-179.1667,-11.85,88,13,19.17
94,Santa Marta,CO,2022-04-03 15:09:29,11.2408,-74.199,83.77,70,71,12.35
95,Port Elizabeth,ZA,2022-04-03 15:05:35,-33.918,25.5701,71.1,91,97,10.0
96,Bluff,NZ,2022-04-03 15:06:08,-46.6,168.3333,56.95,73,62,11.79
97,Olafsvik,IS,2022-04-03 15:09:30,64.8945,-23.7142,40.69,87,100,10.71
98,Lata,PT,2022-04-03 15:09:30,40.1629,-8.3327,57.81,23,6,12.28
99,Cortez,US,2022-04-03 15:09:31,37.3489,-108.5859,53.04,63,100,0.0
100,Samana,DO,2022-04-03 15:09:31,19.2056,-69.3369,80.82,83,75,11.5
101,Richards Bay,ZA,2022-04-03 15:09:32,-28.783,32.0377,77.43,78,100,7.31
102,Razdolinsk,RU,2022-04-03 15:09:32,58.4211,94.6658,6.12,96,11,4.29
